pl_name,hostname,ra,dec,sy_dist,sy_vmag,disc_year,discoverymethod
"Kepler-1808 b","Kepler-1808",287.2924737,39.3832039,1022.01000000,15.4240000,2021,"Transit"
"Kepler-122 f","Kepler-122",291.1118647,39.9490248,1027.45000000,14.4030000,2014,"Transit Timing Variations"
"Kepler-1600 c","Kepler-1600",291.3993802,38.7877563,1030.81000000,16.0760000,2021,"Transit"
"Kepler-279 c","Kepler-279",287.3912950,42.1948220,1037.40000000,13.6470000,2013,"Transit"
"Kepler-27 c","Kepler-27",292.2367608,41.0858710,1044.36000000,15.8220000,2011,"Transit"
"Kepler-341 c","Kepler-341",289.8615609,43.4727412,1047.03000000,14.7390000,2014,"Transit"
"Kepler-764 b","Kepler-764",297.3931183,47.1645814,1047.84000000,15.5550000,2016,"Transit"
"Kepler-299 d","Kepler-299",283.2070156,48.5805222,1052.24000000,15.2320000,2014,"Transit"
"Kepler-1886 b","Kepler-1886",296.2645118,39.4059745,1059.51000000,15.6270000,2021,"Transit"
"KIC 8540376 c","KOI-7892",282.3775397,44.6945690,1072.30000000,14.4110000,2015,"Transit"
"CoRoT-35 b","CoRoT-35",289.3143526,-2.7747085,1123.21000000,15.6350000,2022,"Transit"
"Kepler-501 c","Kepler-501",297.2014919,41.7301534,1125.24000000,14.8860000,2021,"Transit"
"Kepler-1538 b","Kepler-1538",283.3456110,45.2743573,1125.30000000,15.5510000,2016,"Transit"
"Kepler-1685 b","Kepler-1685",296.1882618,43.9368118,1141.89000000,16.0960000,2020,"Transit"
"Kepler-276 d","Kepler-276",293.5681970,39.0363123,1144.86000000,15.4810000,2013,"Transit"
"Kepler-24 e","Kepler-24",290.4132621,38.3437283,1156.81000000,15.0400000,2014,"Transit"
"KOI-134 b","KOI-134",295.5865980,45.3649371,1159.21000000,13.7730000,2025,"Transit"
"CoRoT-17 b","CoRoT-17",278.6992360,-6.6122880,1176.12000000,16.2900000,2011,"Transit"
"Kepler-606 b","Kepler-606",292.4273700,44.3812406,1215.11000000,14.8950000,2016,"Transit"
"Kepler-1503 b","Kepler-1503",293.7271604,42.8067119,1225.57000000,15.8920000,2016,"Transit"
"Kepler-375 b","Kepler-375",288.6178715,48.0983639,1238.81000000,15.6430000,2014,"Transit"
"Kepler-1102 b","Kepler-1102",281.3225917,48.0664955,1246.05000000,14.9280000,2016,"Transit"
"Kepler-1575 b","Kepler-1575",293.7432102,45.7615507,1246.92000000,15.5300000,2016,"Transit"
"Kepler-265 e","Kepler-265",290.5104788,41.2447430,1280.25000000,15.4700000,2014,"Transit"
"Kepler-750 c","Kepler-750",289.0968274,44.0043640,1296.02000000,14.6340000,2016,"Transit"
"K2-308 b","K2-308",78.3391194,16.4141986,1314.53000000,15.0720000,2019,"Transit"
"Kepler-797 b","Kepler-797",297.2089078,41.7816450,1315.26000000,14.7510000,2016,"Transit"
"Kepler-282 b","Kepler-282",284.6772402,44.7976401,1337.61000000,15.4440000,2014,"Transit"
"Kepler-1812 b","Kepler-1812",298.0845087,40.2832525,1409.19000000,15.6310000,2021,"Transit"
"Kepler-590 b","Kepler-590",296.3855467,48.2334177,1421.81000000,14.5540000,2016,"Transit"
"Kepler-117 c","Kepler-117",288.7930651,48.0401760,1455.57000000,14.2820000,2014,"Transit"
"Kepler-1154 c","Kepler-1154",297.4771158,39.8772345,1460.10000000,14.9530000,2016,"Transit"
"Kepler-863 b","Kepler-863",297.6644677,43.2489903,1499.66000000,15.5670000,2016,"Transit"
"Kepler-758 c","Kepler-758",293.0846115,41.1354049,1502.32000000,14.3790000,2016,"Transit"
"Kepler-855 b","Kepler-855",295.0949565,43.5375650,1506.58000000,15.1570000,2016,"Transit"
"Kepler-666 b","Kepler-666",298.4568899,48.7915925,1508.71000000,15.4220000,2016,"Transit"
"Kepler-1589 b","Kepler-1589",294.4418236,40.5716114,1513.14000000,15.0740000,2016,"Transit"
"Kepler-1851 b","Kepler-1851",285.6737597,45.6398375,1589.81000000,15.6990000,2021,"Transit"
"Kepler-729 b","Kepler-729",286.3600604,45.4142664,1921.15000000,15.5670000,2016,"Transit"
"Kepler-1250 b","Kepler-1250",287.7938184,45.9802492,2126.85000000,15.6930000,2016,"Transit"
"Kepler-1403 b","Kepler-1403",290.8676391,38.9600779,2163.90000000,15.7130000,2016,"Transit"
"KMT-2019-BLG-1367L b","KMT-2019-BLG-1367L",272.4713333,-29.7622111,4670.00000000,,2023,"Microlensing"
"KMT-2021-BLG-1547L b","KMT-2021-BLG-1547L",272.3995833,-29.0839389,5070.00000000,,2023,"Microlensing"
"KMT-2023-BLG-2209L b","KMT-2023-BLG-2209L",268.9942083,-29.3056694,5570.00000000,,2025,"Microlensing"
"OGLE-2019-BLG-1492L b","OGLE-2019-BLG-1492L",270.0964583,-28.6311389,5600.00000000,,2022,"Microlensing"
"OGLE-2017-BLG-0373L b","OGLE-2017-BLG-0373L",269.3294067,-31.9517231,5915.00000000,,2018,"Microlensing"
"KMT-2021-BLG-0748L b","KMT-2021-BLG-0748L",272.4213333,-25.7465806,6090.00000000,,2022,"Microlensing"
"KMT-2016-BLG-0212L b","KMT-2016-BLG-0212L",268.4392500,-29.0868889,6300.00000000,,2018,"Microlensing"
"UKIRT-2017-BLG-001L b","UKIRT-2017-BLG-001L",266.6540830,-29.2113609,6300.00000000,,2018,"Microlensing"
"OGLE-2016-BLG-1800L b","OGLE-2016-BLG-1800L",269.9032083,-30.8653611,6480.00000000,,2024,"Microlensing"
"OGLE-2016-BLG-0263L b","OGLE-2016-BLG-0263L",269.8954160,-31.8186111,6500.00000000,,2017,"Microlensing"
"MOA-2007-BLG-400L b","MOA-2007-BLG-400L",272.4249167,-29.2241528,6890.00000000,,2008,"Microlensing"
"OGLE-2017-BLG-0364L b","OGLE-2017-BLG-0364L",265.2278750,-34.6175833,7860.00000000,,2024,"Microlensing"
"Kepler-1737 b","Kepler-1737",297.0148111,47.4864170,,15.4980000,2021,"Transit"
